00000000001000000000010000,00000010000000000000000000,00000000001000000000000000,00000000000010000000000000
00000010000000000000000000,00000000001000000000000000,00000000000010000000000000,00000000001000000000000000
00000000001000000000000000,00000000000010000000000000,00000000001000000000000000,00000000100000000000000000
00000000000010000000000000,00000000001000000000000000,00000000100000000000000000,00000000001000000001000000
00000000001000000000000000,00000000100000000000000000,00000000001000000001000000,00000010000000000001000000
00000000100000000000000000,00000000001000000001000000,00000010000000000001000000,00000000100000000001000000
00000000001000000001000000,00000010000000000001000000,00000000100000000001000000,00000000001000000001000000
00000010000000000001000000,00000000100000000001000000,00000000001000000001000000,00000000000010000001000000
00000000100000000001000000,00000000001000000001000000,00000000000010000001000000,00000000100000000001000000
00000000001000000001000000,00000000000010000001000000,00000000100000000001000000,00000000001000000000000000
00000000000010000001000000,00000000100000000001000000,00000000001000000000000000,00000000100000000000000000
00000000100000000001000000,00000000001000000000000000,00000000100000000000000000,00000000001000000000000000
00000000001000000000000000,00000000100000000000000000,00000000001000000000000000,10000000000000000000000000
00000000100000000000000000,00000000001000000000000000,10000000000000000000000000,00000000000010000000000000
00000000001000000000000000,10000000000000000000000000,00000000000010000000000000,00000000001000000000000000
10000000000000000000000000,00000000000010000000000000,00000000001000000000000000,00000000000010000001000000
00000000000010000000000000,00000000001000000000000000,00000000000010000001000000,00000000100000000001000000
00000000001000000000000000,00000000000010000001000000,00000000100000000001000000,00000000001000000001000000
00000000000010000001000000,00000000100000000001000000,00000000001000000001000000,00000000000010000001000000
00000000100000000001000000,00000000001000000001000000,00000000000010000001000000,10000000000000000001000000
00000000001000000001000000,00000000000010000001000000,10000000000000000001000000,00100000000000000001000000
00000000000010000001000000,10000000000000000001000000,00100000000000000001000000,00000100000000000001000000
10000000000000000001000000,00100000000000000001000000,00000100000000000001000000,00100000000000000001000000
00100000000000000001000000,00000100000000000001000000,00100000000000000001000000,10000000000000000001000000
00000100000000000001000000,00100000000000000001000000,10000000000000000001000000,00000000000010000001000000
00100000000000000001000000,10000000000000000001000000,00000000000010000001000000,00000000001000000000010000
10000000000000000001000000,00000000000010000001000000,00000000001000000000010000,00000000100000000000000000
00000000000010000001000000,00000000001000000000010000,00000000100000000000000000,00000000001000000001000000
00000000001000000000010000,00000000100000000000000000,00000000001000000001000000,00000000000010000001000000
00000000100000000000000000,00000000001000000001000000,00000000000010000001000000,10000000000000000001000000
00000000001000000001000000,00000000000010000001000000,10000000000000000001000000,00000000000010000001000000
00000000000010000001000000,10000000000000000001000000,00000000000010000001000000,10000000000000000001000000
10000000000000000001000000,00000000000010000001000000,10000000000000000001000000,00100000000000000001000000
00000000000010000001000000,10000000000000000001000000,00100000000000000001000000,00000100000000000001000000
10000000000000000001000000,00100000000000000001000000,00000100000000000001000000,10000000000000000001000000
00100000000000000001000000,00000100000000000001000000,10000000000000000001000000,00100000000000000001000000
00000100000000000001000000,10000000000000000001000000,00100000000000000001000000,00000100000000000001000000
10000000000000000001000000,00100000000000000001000000,00000100000000000001000000,00000001000000000000000000
00100000000000000001000000,00000100000000000001000000,00000001000000000000000000,00000100000000000000000000
00000100000000000001000000,00000001000000000000000000,00000100000000000000000000,00100000000000000000000000
00000001000000000000000000,00000100000000000000000000,00100000000000000000000000,10000000000000000001000000
00000100000000000000000000,00100000000000000000000000,10000000000000000001000000,00000000000010000001000000
00100000000000000000000000,10000000000000000001000000,00000000000010000001000000,10000000000000000000000000
10000000000000000001000000,00000000000010000001000000,10000000000000000000000000,00000000000010000000000000
00000000000010000001000000,10000000000000000000000000,00000000000010000000000000,00000000001000000000010000
10000000000000000000000000,00000000000010000000000000,00000000001000000000010000,00000000100000000001000000
00000000000010000000000000,00000000001000000000010000,00000000100000000001000000,00000010000000000001000000
00000000001000000000010000,00000000100000000001000000,00000010000000000001000000,00000000100000000001000000
00000000100000000001000000,00000010000000000001000000,00000000100000000001000000,00000000001000000001000000
